calendar_year,detention_center_name,detention_center_state,detention_center_type,latitude,longitude,deaths_n
2011,Albany County Jail,NY,Public,42.75141,-73.81536,1
2011,Clinton County Correctional Facility,PA,Public,41.154871,-77.336887,1
2011,El Paso Service Processing Center,TX,Private,31.796447,-106.369651,1
2011,Elizabeth Contract Detention Facility,NJ,Private,40.666157,-74.189694,1
2011,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2011,Farmville Detention Center,VA,Private,37.319501,-78.438276,1
2011,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,2
2011,North Georgia Detention Center,GA,Private,34.294675,-83.824166,1
2011,Theo Lacy Facility,CA,Public,33.782671,-117.888617,1
2011,Weber County Jail,UT,Public,41.24009,-111.993298,1
2012,Adelanto ICE Processing Center,CA,Private,34.557729,-117.441865,1
2012,Denver Contract Detention Facility,CO,Private,39.766325,-104.864502,1
2012,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2012,Las Vegas Field Office Hold Room,NV,Public,36.058347,-115.225127,1
2012,San Bernardino Field Office Hold Room,CA,Public,34.10077,-117.297624,1
2013,Broadview ICE Facility,IL,Private,41.868522,-87.86562,1
2013,Eloy Detention Center,AZ,Private,32.817677,-111.51927,2
2013,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,1
2013,Joe Corley Processing Center,TX,Private,30.34444,-95.46021,1
2013,MDC Guaynabo,PR,Public,18.423156,-66.112208999999993,1
2013,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2013,Rolling Plains Detention Center,TX,Private,33.176272,-99.721789,1
2013,York County Prison,PA,Public,39.987597,-76.663603,1
2014,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,2
2014,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2014,Rio Grande Detention Center,TX,Private,27.377813,-99.489677,1
2014,South Texas ICE Processing Center,TX,Private,28.894651,-99.121943,1
2014,Utah County Jail,UT,Public,40.148256,-111.656906,1
2015,Adelanto ICE Processing Center,CA,Private,34.557729,-117.441865,2
2015,El Paso County Jail,CO,Public,38.788166,-104.77912,1
2015,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2015,Florence Service Processing Center,AZ,Private,33.06496,-111.378505,1
2015,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,1
2015,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2016,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2016,Essex County Jail,NJ,Public,40.730608,-74.135742,1
2016,Hall County Jail,GA,Public,34.242651,-83.815583,1
2016,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2016,Lasalle Correctional Center,LA,Private,31.85131,-92.28482,3
2016,Orange County Jail,NY,Public,41.404669,-74.357459,1
2016,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2016,Otero County Processing Center,NM,Private,32.08042,-106.28262,1
2016,Rolling Plains Detention Center,TX,Private,33.176272,-99.721789,1
2016,South Texas ICE Processing Center,TX,Private,28.894651,-99.121943,1
2017,Adelanto ICE Processing Center,CA,Private,34.557729,-117.441865,3
2017,Atlanta Pretrial Detention Center,GA,Public,33.747313,-84.395391,1
2017,Denver Contract Detention Facility,CO,Private,39.766325,-104.864502,1
2017,Hudson County Jail,NJ,Public,40.72991,-74.103398,1
2017,IAH Polk Adult Detention Facility,TX,Private,30.698151,-95.005792,1
2017,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2017,Lasalle Correctional Center,LA,Private,31.85131,-92.28482,1
2017,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2018,Baker County Jail,FL,Public,30.29596,-82.12172,1
2018,Broadview ICE Facility,IL,Private,41.868522,-87.86562,1
2018,Cibola County Correctional Center,NM,Private,35.179783,-107.907649,1
2018,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2018,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2018,Monroe County Jail,FL,Public,24.577137,-81.751524,1
2018,Northwest ICE Processing Center,WA,Private,47.25021,-122.422663,1
2018,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2018,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2018,Prairieland Detention Facility,TX,Private,32.420785,-97.196902,1
2018,Stewart Detention Center,GA,Private,32.036676,-84.771746,2
2019,Florence Service Processing Center,AZ,Private,33.06496,-111.378505,1
2019,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,1
2019,La Paz Adult Detention Facility,AZ,Public,34.146226,-114.290189,1
2019,McHenry County Adult Correctional Facility,IL,Public,42.337002,-88.443168,1
2019,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2019,Richwood Correctional Center,LA,Private,32.463426,-92.087402,1
2019,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2019,Torrance County Detention Facility,NM,Private,34.767387,-106.018496,1
2019,Worcester County Jail,MD,Public,38.170007,-75.375834,1
2020,Adams County Detention Center,MS,Private,31.569175,-91.230469,1
2020,Baker County Jail,FL,Public,30.29596,-82.12172,1
2020,Catahoula Correctional Center,LA,Private,31.860451,-91.962215,1
2020,Farmville Detention Center,VA,Private,37.319501,-78.438276,1
2020,Glades County Detention Center,FL,Public,26.838714,-81.124018,1
2020,Joe Corley Processing Center,TX,Private,30.34444,-95.46021,1
2020,Karnes County Immigration Processing Center,TX,Private,28.884651,-97.915298,1
2020,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,2
2020,Mesa Verde ICE Processing Center,CA,Private,35.393033,-119.027482,1
2020,Northeast Ohio Correctional Center,OH,Public,41.12896,-80.62683,1
2020,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2020,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2020,Prairieland Detention Facility,TX,Private,32.420785,-97.196902,1
2020,Stewart Detention Center,GA,Private,32.036676,-84.771746,3
2020,Winn Correctional Center,LA,Private,31.849565,-92.801514,1
2021,Adams County Detention Center,MS,Private,31.569175,-91.230469,1
2021,Calhoun County Correctional Center,MI,Public,42.316674,-85.175892,1
2021,El Valle Detention Facility,TX,Private,26.480407,-97.767334,1
2021,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2021,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
